N,P,K,temperature,humidity,ph,rainfall,label
20,45,16,29.93965,54.61813,4.626212,45.4367,mothbeans
23,37,24,28.77833,44.22526,7.991902,33.95826,mothbeans
22,42,22,25.54249,56.96641,7.887659,48.46797,mothbeans
25,51,18,27.778,54.82131,9.459493,50.28439,mothbeans
38,38,18,26.31052,61.18749,6.29413,35.73404,mothbeans
19,36,22,25.44689,58.55364,6.164963,57.04827,mothbeans
32,41,16,28.63619,61.39451,7.702287,68.54878,mothbeans
4,59,22,29.33743,49.00323,8.914075,42.44054,mothbeans
8,45,15,28.09569,60.98354,4.611364,33.84111,mothbeans
37,57,20,31.10062,44.82069,7.354287,70.79934,mothbeans
22,36,16,30.58139,50.77148,8.184229,64.5856,mothbeans
11,40,23,29.61253,63.04749,5.804286,50.19783,mothbeans
36,58,25,28.66024,59.31891,8.399136,36.9263,mothbeans
35,57,25,27.09563,42.26206,8.340398,71.1271,mothbeans
39,36,22,29.34317,60.50321,9.072011,34.03335,mothbeans
35,55,22,30.88883,52.62697,8.63493,55.51932,mothbeans
19,51,25,26.80474,48.23991,3.525366,43.87802,mothbeans
22,59,23,27.32221,51.27869,4.371746,36.50379,mothbeans
39,42,20,29.34997,61.25354,8.055909,40.82841,mothbeans
9,60,23,31.96988,57.17377,6.276004,64.2552,mothbeans
29,54,16,27.78032,54.6503,8.153023,32.05025,mothbeans
3,58,21,25.36141,46.82653,9.160692,55.60523,mothbeans
27,59,20,28.00937,52.6095,4.397699,36.01203,mothbeans
26,51,25,28.76489,52.62742,7.792508,55.21607,mothbeans
20,50,22,30.99695,46.42694,9.406888,38.31598,mothbeans
24,37,21,30.574,58.22687,5.818219,62.74804,mothbeans
12,39,21,28.99319,62.85948,8.183845,70.4713,mothbeans
40,45,20,29.37687,57.69623,6.878498,38.34303,mothbeans
25,35,20,28.90245,43.35366,8.923096,71.90019,mothbeans
28,57,17,30.47758,61.58245,9.416003,61.86634,mothbeans
91,94,46,29.36792,76.249,6.149934,92.82841,banana
108,88,55,26.28846,83.39004,5.891458,113.873,banana
86,76,54,29.31591,80.11586,5.926825,90.10978,banana
85,95,47,25.94019,78.34221,6.211833,119.848,banana
91,84,52,29.14827,78.71025,6.390742,117.5368,banana
111,79,53,28.31193,75.77364,6.165001,119.6958,banana
111,88,55,29.44795,78.34972,5.505394,96.45043,banana
117,82,45,25.29392,79.29122,5.614471,105.422,banana
110,78,50,25.9373,78.89864,5.915569,98.21748,banana
105,77,52,29.16227,76.16152,5.816622,100.0076,banana
113,85,45,27.94972,76.63713,6.037431,109.0922,banana
104,73,46,29.14009,80.11902,6.282362,90.45143,banana
80,90,47,26.59744,79.35899,6.210845,107.3945,banana
93,81,50,27.71822,76.57853,6.036079,102.21,banana
117,86,48,28.69562,82.54196,6.225225,116.1617,banana
93,94,53,25.86632,84.42379,6.079179,114.5358,banana
83,79,55,25.14748,83.34688,5.565029,98.66679,banana
89,83,47,28.09578,77.79587,5.631272,109.5409,banana
99,92,47,28.12795,77.48247,6.323934,103.5045,banana
100,80,52,27.53911,77.2563,6.049802,110.3262,banana
93,83,46,29.38254,83.50424,5.765309,109.2487,banana
99,70,46,26.59581,82.99557,5.72747,100.5123,banana
94,89,48,28.55981,84.51602,5.653438,111.0843,banana
98,79,50,25.3412,84.47321,6.435917,91.06493,banana
109,79,45,27.66753,79.68543,6.490074,108.6646,banana
102,71,48,28.65456,79.28694,5.695268,102.4634,banana
94,70,48,25.13687,84.88394,6.195152,91.46442,banana
93,91,47,27.84768,83.31111,6.101242,117.2879,banana
114,94,53,26.33545,76.8532,6.190757,118.6858,banana
108,72,46,25.16278,84.97849,6.110845,90.94555,banana
107,72,45,28.14939,81.54449,5.790768,91.40508,banana
86,95,49,28.05484,78.04603,6.458715,108.3957,banana
109,91,53,29.66727,83.51014,6.010096,110.2511,banana
108,92,53,27.40054,82.96221,6.2768,104.9378,banana
80,77,49,26.05433,79.39655,5.519088,113.2297,banana
95,82,48,27.3949,83.31172,5.719015,92.78134,banana
105,74,45,25.14518,81.38204,6.098369,119.2182,banana
112,73,48,29.24406,77.32017,5.707489,90.66728,banana
118,88,51,25.44926,79.49222,6.201912,100.6619,banana
104,80,54,27.09062,81.33507,5.879119,110.1331,banana
92,81,52,28.01068,76.52808,5.891414,103.7041,banana
110,71,54,28.67209,82.20794,5.725419,94.37987,banana
94,91,51,29.16093,76.67484,5.618094,109.5759,banana
100,74,52,25.43481,81.53978,5.837258,96.478,banana
95,75,45,28.98333,82.95958,5.829899,109.0226,banana
96,86,51,29.90889,76.98741,6.25737,91.99965,banana
90,92,55,27.00932,80.18547,6.134656,97.32532,banana
99,73,53,26.29039,81.06004,5.871702,118.673,banana
108,89,53,29.55055,78.06763,5.808498,99.34482,banana
105,93,46,25.01018,78.76261,5.760458,108.3691,banana
95,88,52,28.00316,78.90086,6.235462,94.6818,banana
105,88,54,25.7875,84.51194,6.020445,114.2005,banana
119,90,48,28.66725,79.59243,5.986442,118.2583,banana
97,74,45,26.47523,78.51834,5.67772,113.1161,banana
88,78,45,29.10403,79.19589,6.32427,92.07836,banana
120,87,52,28.07645,76.05522,5.905495,118.9924,banana
82,77,46,28.94705,82.1889,5.901101,95.83016,banana
106,85,53,27.19946,78.80861,5.915055,99.72431,banana
89,91,55,25.08347,80.26173,6.275572,94.32961,banana
101,75,50,26.59386,81.4074,6.242528,109.9826,banana
82,78,46,25.05802,84.97324,5.738679,110.4409,banana
111,87,48,26.39855,81.36029,5.571401,98.16752,banana
102,73,52,27.91221,83.36308,6.356091,90.24212,banana
106,70,55,25.86825,78.524,5.740555,116.302,banana
112,87,48,27.19712,77.39706,6.200111,99.4695,banana
90,86,55,27.96237,84.15404,5.644487,97.55987,banana
101,92,45,28.22777,80.64304,5.758054,98.00403,banana
118,88,52,28.65004,82.68753,5.843163,98.75084,banana
92,81,52,27.39342,81.46548,6.438137,94.31102,banana
100,76,45,25.56703,75.94068,5.590236,102.7868,banana
85,89,51,29.21145,84.7019,6.158164,108.5501,banana
117,76,47,25.56202,77.38229,6.119216,93.10247,banana
80,71,47,27.50528,80.79784,6.156373,105.0777,banana
91,75,55,27.48613,76.1124,6.212369,109.2769,banana
86,79,45,27.81251,82.69285,5.807664,99.20962,banana
116,71,47,27.57278,82.06389,6.435786,91.34277,banana
114,79,51,26.21009,82.34429,6.313197,112.07,banana
90,86,52,25.85037,81.9558,5.79326,119.0856,banana
92,75,45,29.01208,77.95193,5.674403,90.43495,banana
93,85,49,27.96799,79.28626,5.694244,119.4766,banana
133,47,24,24.40229,79.19732,7.231325,90.80224,cotton
132,52,19,24.16402,76.74339,6.436692,61.94626,cotton
111,50,15,25.1682,80.30352,7.88455,84.62419,cotton
111,41,18,23.64328,78.12587,6.105398,80.96157,cotton
127,53,24,22.21507,76.17852,6.12794,70.40558,cotton
121,47,16,23.60564,79.29573,7.72324,72.49801,cotton
125,60,17,24.14386,84.51591,6.785724,80.36147,cotton
105,56,15,25.9678,81.97904,7.272316,74.14169,cotton
102,37,25,25.31468,77.91757,5.907931,72.82902,cotton
107,42,24,22.04613,84.62978,6.144632,86.00759,cotton
120,48,16,22.46054,75.40989,7.456972,71.85436,cotton
119,44,15,22.14594,82.85975,7.091992,60.65382,cotton
123,44,21,25.78544,75.00539,7.641117,91.39579,cotton
117,56,15,25.99237,77.05435,7.368258,89.11882,cotton
105,60,23,23.53371,77.21706,6.207652,87.54005,cotton
133,50,25,25.7218,81.19666,7.569455,99.93101,cotton
101,37,18,22.92361,82.68739,7.637378,92.91915,cotton
102,45,16,23.6563,77.52426,7.294219,74.8985,cotton
118,44,23,22.08458,82.82904,6.69169,67.0646,cotton
140,45,15,25.53083,80.04663,5.801048,99.39557,cotton
136,36,20,23.09596,84.86276,6.925412,71.29581,cotton
140,40,17,22.72767,77.07598,6.006086,77.55176,cotton
123,39,24,25.00755,78.17952,7.453106,86.06412,cotton
107,58,15,23.73868,75.77504,7.556064,76.63669,cotton
133,57,19,23.54235,75.98203,7.947011,84.12537,cotton
108,60,17,22.75806,76.75768,6.558903,97.76601,cotton
104,47,18,23.96563,76.97697,7.633437,90.75617,cotton
108,46,17,24.3018,84.87669,6.932215,65.02479,cotton
126,46,25,24.43847,81.69802,6.757458,60.79646,cotton
100,48,17,23.78051,83.03879,7.827878,66.26556,cotton
126,37,21,25.84997,84.16855,6.614486,77.03421,cotton
121,45,22,22.45943,81.30681,6.443785,64.23027,cotton
129,47,20,24.41212,80.80344,6.281914,98.60457,cotton
103,42,17,24.2947,84.61528,6.527542,81.05902,cotton
123,50,16,23.0492,75.53835,6.498052,70.65644,cotton
102,53,21,23.03814,76.11022,6.913679,91.49697,cotton
139,35,15,25.24868,83.46301,5.898293,86.55518,cotton
131,35,18,24.49113,82.24416,7.057693,64.02949,cotton
129,60,22,24.58453,79.12404,5.947449,71.94608,cotton
106,46,20,23.43822,78.63389,6.200672,81.15072,cotton
129,43,16,25.55037,77.85056,6.732109,78.58488,cotton
110,39,25,22.60612,77.34264,7.208795,75.13617,cotton
102,46,19,22.77076,82.59933,6.631005,81.49543,cotton
110,39,18,24.54795,75.39753,7.76626,63.8808,cotton
135,43,16,23.47987,81.73049,6.72045,86.76288,cotton
117,51,15,22.95357,78.71556,6.044557,99.75336,cotton
133,47,23,24.88738,75.62137,6.827355,89.7605,cotton
115,48,16,25.5436,84.0923,7.175935,88.94245,cotton
125,39,21,25.0315,82.21277,7.954629,95.01913,cotton
122,59,18,23.5001,83.63489,6.219469,79.81328,cotton
112,49,25,25.6896,77.90621,6.470135,66.19427,cotton
118,45,23,23.37044,77.43199,7.977651,71.67871,cotton
107,36,21,25.2925,75.66653,6.205264,62.64174,cotton
131,52,16,23.65724,84.47601,6.486068,88.54479,cotton
111,39,22,22.60362,80.3509,6.135025,88.57396,cotton
112,54,15,25.46229,81.56642,6.175492,76.88582,cotton
131,56,20,22.00817,81.83896,7.762648,92.23645,cotton
132,41,22,24.29145,81.02453,7.810866,90.41695,cotton
100,41,22,22.42048,84.55795,7.318802,93.46596,cotton
101,58,18,25.66891,81.38103,6.652144,78.59596,cotton
121,36,24,23.66457,81.69105,7.352402,99.36898,cotton
106,49,24,23.03888,76.4704,6.983396,90.64771,cotton
111,53,19,23.96436,78.02763,6.419537,84.63149,cotton
113,38,20,22.10719,78.5832,6.36473,74.94137,cotton
117,43,25,24.68855,78.51207,7.839849,69.31154,cotton
140,38,15,24.1473,75.88299,6.02144,69.91563,cotton
131,49,22,25.49848,79.97516,7.306919,67.05962,cotton
111,40,25,24.48469,84.44932,6.187456,90.94342,cotton
113,41,20,25.00172,80.53966,7.256878,96.32601,cotton
126,38,23,25.36244,83.63276,6.176716,88.43619,cotton
118,50,19,22.95604,82.33734,6.360812,66.48339,cotton
100,52,19,23.45969,82.44777,7.903529,93.50154,cotton
109,36,18,25.40059,76.53238,7.524708,62.51389,cotton
102,49,21,24.69316,84.84422,6.253344,89.79946,cotton
122,48,16,24.65426,75.63507,6.307586,61.8298,cotton
100,46,18,24.18586,76.04204,6.43169,69.08057,cotton
134,56,18,23.80835,83.91903,6.691268,70.97358,cotton
116,56,17,24.71253,77.72931,7.97909,85.24963,cotton
116,52,19,22.94277,75.37171,6.114526,67.08023,cotton
113,37,20,25.033,79.04369,7.393441,97.10087,cotton
91,21,26,26.33378,57.3647,7.261314,191.6549,coffee
89,28,33,26.44414,53.83876,6.993236,175.3723,coffee
81,30,31,24.6509,51.93952,7.027586,135.1387,coffee
112,17,28,27.62975,61.26003,6.777418,196.6493,coffee
108,24,31,24.12833,56.18108,6.4319,147.2758,coffee
109,23,25,25.11711,68.4803,7.007332,194.8773,coffee
82,29,35,26.67377,52.24226,6.246872,156.1544,coffee
117,32,34,26.27242,52.12739,6.758793,127.1753,coffee
107,34,32,26.77464,66.41327,6.780064,177.7745,coffee
113,21,33,26.02241,55.83289,7.277423,176.9021,coffee
80,30,25,26.24092,65.64381,7.487267,148.3771,coffee
98,27,27,24.71384,51.29143,7.23811,197.644,coffee
107,21,26,26.45288,55.32223,7.23507,144.6861,coffee
97,29,27,27.74577,54.36976,7.205079,139.8619,coffee
116,40,33,24.9137,54.15319,7.042089,129.5481,coffee
120,23,28,25.67324,51.29044,6.877799,196.2736,coffee
81,34,30,25.17788,62.26245,6.647766,135.012,coffee
93,26,27,24.59246,56.4683,7.288212,137.7044,coffee
86,26,27,27.1314,52.89368,6.081173,192.428,coffee
83,21,28,25.56748,60.49245,7.466901,190.2258,coffee
88,35,35,27.55906,58.45743,6.784461,117.939,coffee
117,37,32,23.10694,67.06231,6.787659,162.577,coffee
116,36,25,27.57848,58.52534,6.17209,156.681,coffee
100,40,35,27.56442,54.41094,6.955787,177.8161,coffee
84,27,29,23.32293,53.00366,7.167093,168.2644,coffee
95,39,29,27.35153,55.99375,7.134114,148.9813,coffee
101,33,33,26.97252,62.01836,6.908671,142.8611,coffee
83,38,35,25.70823,52.88667,7.189156,136.7325,coffee
94,26,27,26.3663,52.25738,7.45646,177.3176,coffee
120,20,34,23.56961,50.5634,6.906125,130.3797,coffee
105,18,35,23.52648,68.44031,6.743417,171.884,coffee
104,26,30,24.40727,62.65693,6.410993,148.6977,coffee
108,35,25,23.98143,61.10935,6.971963,161.5279,coffee
113,33,34,26.00374,62.14451,6.559817,153.4778,coffee
101,31,26,26.70898,69.71184,6.861235,158.8609,coffee
103,33,33,26.71717,50.50149,7.131436,126.8074,coffee
106,21,35,25.62736,57.04151,7.428524,188.5507,coffee
88,21,27,24.43012,66.02411,7.231167,181.6368,coffee
98,18,27,27.56089,68.493,6.516312,167.4358,coffee
84,36,28,26.73506,55.55165,6.119892,140.6305,coffee
114,27,28,24.99452,57.9325,7.162802,192.8737,coffee
107,31,31,23.17125,52.97841,6.766184,153.1202,coffee
106,40,30,23.42612,64.10652,6.779984,122.6847,coffee
85,33,25,26.20811,52.50988,6.910824,189.0945,coffee
97,35,26,24.91461,53.74145,6.33461,166.2549,coffee
87,23,28,26.22367,62.26595,6.979591,193.7462,coffee
80,15,28,23.11439,68.00096,6.703271,161.8945,coffee
113,15,29,27.09617,63.55324,6.77923,190.2441,coffee
104,18,30,23.60302,60.39647,6.779833,140.937,coffee
118,21,34,24.38535,64.72543,7.234258,119.6324,coffee
82,24,26,24.31274,53.57286,6.089444,184.4104,coffee
108,33,31,23.69287,66.7609,7.393826,144.6576,coffee
118,33,30,24.1318,67.22512,6.362608,173.3228,coffee
87,38,29,25.20407,57.8837,6.652643,156.1457,coffee
104,35,28,27.51006,50.66687,6.983732,143.9956,coffee
117,26,30,27.92374,67.96911,7.079851,115.2326,coffee
89,25,34,23.07895,63.65861,7.184802,129.8765,coffee
91,25,26,24.5346,66.99765,7.482414,180.5059,coffee
116,28,34,23.44372,60.39523,6.423211,122.2103,coffee
118,18,32,27.64961,51.11044,6.351824,122.8393,coffee
116,38,34,23.2925,50.04557,6.020947,183.4686,coffee
100,32,26,25.23466,57.53161,6.043486,124.2262,coffee
116,23,25,23.41237,52.26995,6.86972,139.3671,coffee
111,27,31,23.59302,55.27565,6.043331,191.3981,coffee
118,40,35,26.35034,58.5065,7.460175,121.5586,coffee
87,28,30,25.60154,68.66258,6.536677,168.8384,coffee
120,40,33,24.23851,54.3033,6.734105,115.1564,coffee
109,29,28,23.26317,60.516,6.724689,194.1755,coffee
82,24,33,26.53543,67.09608,6.809594,120.6494,coffee
86,40,33,26.13879,52.26312,7.432322,136.3028,coffee
111,28,26,27.77363,64.47859,6.937353,192.7121,coffee
115,31,30,24.22985,67.37768,6.840928,122.4073,coffee
84,39,35,23.17714,52.13864,6.959404,117.3114,coffee
95,37,35,27.31317,68.42334,6.348338,192.4288,coffee
117,34,25,24.83846,56.76853,7.2127,124.4135,coffee
80,18,31,24.02953,58.84881,7.303033,134.6804,coffee
111,32,34,25.46744,69.35161,6.392048,171.3764,coffee
92,40,30,23.35723,55.18792,6.026287,171.6977,coffee
97,22,26,23.60568,59.68849,6.07419,185.1568,coffee
99,19,33,27.53645,55.51673,6.273742,130.6377,coffee
119,25,51,26.4733,80.92254,6.283818,53.65743,watermelon
91,24,55,26.27062,83.09195,6.259087,46.76837,watermelon
91,12,46,24.64458,85.49938,6.343943,48.31219,watermelon
88,29,51,24.71885,88.94568,6.09569,48.45979,watermelon
111,5,55,26.28344,84.42479,6.520663,50.7867,watermelon
109,10,53,26.81939,87.82746,6.55175,46.06194,watermelon
102,14,52,26.7949,89.64815,6.51076,57.74092,watermelon
100,10,53,24.54357,84.60808,6.211749,42.0066,watermelon
117,30,50,24.90124,87.20773,6.744966,46.59207,watermelon
119,9,50,26.74551,83.91959,6.251287,40.79431,watermelon
84,7,51,26.8153,87.65694,6.399669,55.74074,watermelon
111,6,53,26.49306,88.59143,6.313513,46.06382,watermelon
91,7,53,25.13736,89.28273,6.457217,43.52898,watermelon
119,19,55,25.1878,83.44622,6.818261,46.87421,watermelon
92,7,48,26.27521,86.6325,6.956509,54.38748,watermelon
107,10,49,25.83203,89.00482,6.755192,45.24691,watermelon
101,20,48,24.67742,82.75411,6.206247,57.05709,watermelon
102,28,54,25.15623,80.27525,6.862157,55.49541,watermelon
84,25,52,24.3719,81.25148,6.125324,44.209,watermelon
97,8,52,24.91032,86.9719,6.237862,49.48576,watermelon
120,24,47,26.98604,89.41385,6.260839,58.54877,watermelon
99,6,45,26.12589,86.55079,6.000976,40.7121,watermelon
114,21,55,25.44384,87.93923,6.472756,57.5155,watermelon
105,30,50,25.29955,81.77528,6.376201,57.04147,watermelon
119,7,55,26.03868,84.63784,6.031424,44.39934,watermelon
95,16,55,25.26931,87.55055,6.612848,40.1265,watermelon
95,14,50,26.63331,84.31757,6.560444,56.31866,watermelon
104,17,46,25.71314,80.22973,6.190016,43.08962,watermelon
113,30,50,26.03967,83.98624,6.277484,43.87712,watermelon
112,28,54,24.86095,85.05319,6.738031,55.29564,watermelon
91,21,50,24.33528,81.4403,6.76203,48.32114,watermelon
92,20,55,25.10475,87.52676,6.587791,59.26519,watermelon
114,8,50,24.74631,88.30866,6.581588,57.95826,watermelon
82,23,49,26.81384,87.21987,6.873284,51.70498,watermelon
103,17,51,25.11189,80.02621,6.209888,44.20657,watermelon
101,13,54,25.42901,82.91482,6.828983,56.34145,watermelon
105,14,50,26.21488,87.6884,6.419052,59.65591,watermelon
86,6,53,25.9203,83.47203,6.921848,42.10682,watermelon
91,7,52,25.07804,83.4623,6.405054,56.39963,watermelon
83,25,53,26.49195,80.04678,6.057697,57.72799,watermelon
103,16,49,24.06731,81.64075,6.915717,51.75212,watermelon
89,25,54,24.69369,85.56968,6.353107,48.99391,watermelon
83,29,52,25.76403,87.59311,6.704689,46.05123,watermelon
107,5,52,26.66346,89.98405,6.881426,57.40847,watermelon
95,12,51,25.76484,84.1727,6.681607,44.22067,watermelon
92,7,45,26.70608,81.1415,6.94464,51.51034,watermelon
83,10,53,24.92995,85.00802,6.195142,48.75859,watermelon
118,13,54,24.41312,89.81574,6.039585,44.07843,watermelon
119,30,49,25.35795,80.45846,6.90302,47.72078,watermelon
110,28,46,24.29105,88.04541,6.498896,51.26046,watermelon
110,21,54,26.73691,87.8243,6.747538,47.46447,watermelon
101,17,55,24.37118,87.12691,6.4515,44.63908,watermelon
101,10,47,25.54217,83.31883,6.936998,57.57343,watermelon
116,5,54,25.37601,80.99314,6.653987,57.23028,watermelon
100,18,52,26.20234,80.38266,6.876067,56.47942,watermelon
99,5,47,24.13079,84.84495,6.649087,51.1947,watermelon
97,12,47,25.28785,89.63668,6.765095,58.28698,watermelon
120,20,45,25.66576,88.69842,6.114129,54.22722,watermelon
115,11,46,24.41593,89.39656,6.623167,40.32162,watermelon
120,7,47,24.24782,83.03688,6.653868,54.76576,watermelon
120,19,49,25.79449,84.26831,6.762472,56.45229,watermelon
85,25,47,26.1144,87.64081,6.295425,58.48161,watermelon
98,8,51,26.17935,86.52258,6.259336,49.43051,watermelon
85,27,45,26.07138,88.72857,6.467096,57.79653,watermelon
89,22,52,24.89681,86.10783,6.217301,53.14626,watermelon
86,15,47,24.04356,84.18407,6.423899,53.7893,watermelon
118,21,51,24.42999,86.33905,6.678805,48.58242,watermelon
109,21,55,24.90046,89.73524,6.770278,57.44942,watermelon
108,22,46,26.17669,86.72952,6.121169,53.33485,watermelon
98,25,52,25.28014,83.15394,6.224066,49.29457,watermelon
117,27,48,26.53259,82.39054,6.835268,54.30661,watermelon
82,22,45,26.22338,85.34866,6.512196,54.60159,watermelon
90,14,52,24.84741,89.20455,6.391858,59.67927,watermelon
97,25,50,26.22006,80.90127,6.093815,49.08554,watermelon
82,25,51,24.31335,87.47409,6.07421,48.11248,watermelon
97,22,50,26.26029,86.14586,6.769894,58.97879,watermelon
83,22,54,25.89762,81.96665,6.277245,54.4996,watermelon
81,6,55,24.88911,85.87059,6.110143,51.70699,watermelon
83,23,55,26.8975,83.89241,6.463271,43.97194,watermelon
96,18,50,25.33104,84.30534,6.904242,41.53219,watermelon
18,30,29,26.76275,92.86057,6.420019,224.5904,coconut
16,14,30,29.70931,96.30484,6.374668,209.8454,coconut
0,29,32,28.05912,98.3671,5.868256,171.6516,coconut
40,5,32,26.07011,96.70362,5.98117,143.5335,coconut
39,29,29,26.50909,94.48415,6.143663,199.8778,coconut
10,24,27,27.57284,94.90486,5.70841,145.9299,coconut
29,17,29,29.20395,95.66997,5.959493,211.2506,coconut
29,8,28,26.87038,91.72546,6.100429,214.4129,coconut
8,6,33,28.27804,93.64761,6.095261,171.9458,coconut
20,29,27,25.09898,92.36099,6.047044,157.7593,coconut
29,25,35,28.35751,91.64509,5.542874,160.7307,coconut
3,23,30,29.70143,95.65754,6.078807,215.1968,coconut
32,11,31,25.06872,93.3141,6.205932,134.8419,coconut
26,9,32,25.94904,94.73861,6.470466,144.1571,coconut
24,27,34,28.87863,95.1132,6.203377,145.0583,coconut
1,8,26,27.51363,94.18956,5.562912,156.6733,coconut
39,7,29,27.54273,94.59086,6.362544,150.2012,coconut
35,30,34,28.29748,95.41123,6.141502,182.4482,coconut
34,6,30,27.08283,97.00155,5.948343,171.7576,coconut
8,28,30,25.51618,94.33465,6.015672,135.1272,coconut
0,26,31,25.07072,95.02157,5.547933,192.9036,coconut
28,27,32,28.941,93.00109,5.764615,191.7723,coconut
17,30,27,29.03065,90.79094,5.894027,205.572,coconut
22,16,27,29.17979,90.27214,6.006785,188.9252,coconut
11,6,25,28.69165,96.65249,6.081568,178.9635,coconut
31,30,29,26.5858,90.98618,5.558807,178.8116,coconut
27,22,29,28.83215,92.1717,6.000249,145.4172,coconut
37,5,34,25.79491,93.84151,5.779033,152.4239,coconut
14,21,35,29.52501,91.91185,6.121006,194.31,coconut
0,19,33,27.1326,95.23798,6.234458,204.7207,coconut
37,23,28,25.61294,94.31388,5.740055,224.3207,coconut
36,27,26,26.58414,95.78923,6.254496,171.6262,coconut
18,19,29,27.59377,92.4852,6.206078,162.8433,coconut
19,26,29,26.93142,98.80314,5.671549,166.5713,coconut
38,14,30,26.9245,91.20106,5.570745,194.9022,coconut
30,13,25,27.15116,91.48889,6.413185,164.9182,coconut
26,18,27,27.45908,92.90736,5.836075,142.143,coconut
34,15,34,27.05826,91.1051,5.677283,224.7007,coconut
17,11,32,28.74013,93.39676,5.620734,156.7651,coconut
10,18,35,27.79798,99.64573,6.381975,181.6942,coconut
19,15,34,26.29645,99.65809,5.685889,215.9195,coconut
32,20,35,26.52166,98.38228,5.588655,144.6262,coconut
27,24,29,26.61423,96.97301,6.142011,191.0067,coconut
31,13,33,29.69952,95.21224,6.342464,148.3004,coconut
21,20,31,25.60034,99.72401,5.855458,165.8249,coconut
13,28,33,28.13012,95.64808,5.686973,151.0762,coconut
40,5,29,28.48445,97.76865,5.820979,160.3894,coconut
7,21,35,25.76012,94.65831,5.764812,131.2451,coconut
17,29,26,26.14162,93.28415,6.071897,195.4115,coconut
6,13,29,27.31156,99.96906,5.832608,201.8259,coconut
23,6,33,29.18033,92.73041,6.02579,204.9604,coconut
27,8,32,27.00648,96.46169,5.627861,144.3331,coconut
34,6,27,25.84726,90.92669,5.86074,147.8889,coconut
1,12,30,27.7543,95.94644,5.562224,131.09,coconut
31,6,26,29.12859,91.30925,5.741367,157.2389,coconut
39,5,31,27.10135,93.6998,5.551963,150.9503,coconut
31,13,33,27.63835,95.48763,5.859719,205.5463,coconut
9,17,32,25.94952,93.40549,5.842318,172.054,coconut
27,10,33,27.81133,97.48411,6.465906,154.0621,coconut
16,6,29,29.28725,91.95615,5.868285,132.1491,coconut
7,15,32,25.03512,95.8974,6.182233,174.7966,coconut
15,28,32,28.84271,99.64329,6.218572,224.4017,coconut
37,18,30,27.63551,99.34855,6.384884,157.9172,coconut
0,19,31,25.51791,94.38421,6.271953,178.7298,coconut
8,26,26,25.5476,91.64195,5.702485,212.8676,coconut
26,10,33,28.27298,96.93649,6.070718,198.8235,coconut
22,11,29,28.03381,95.01631,5.955743,218.0056,coconut
2,30,30,26.00175,94.79998,6.331052,209.5401,coconut
25,12,26,28.56974,95.67907,6.436314,134.837,coconut
23,21,26,26.45489,93.45043,5.901496,149.222,coconut
33,14,35,27.14865,96.66355,6.027707,149.2433,coconut
40,22,29,27.55822,99.98188,5.735364,174.6256,coconut
22,8,33,28.43573,95.88404,5.665785,203.9284,coconut
24,14,33,29.38073,93.27566,6.36622,218.5242,coconut
20,28,26,26.37978,91.49883,5.547595,167.0471,coconut
1,6,35,27.02269,95.71935,6.231663,147.1682,coconut
31,29,35,27.18723,92.19907,6.137103,141.3221,coconut
27,8,30,26.446,98.29938,6.008386,221.2258,coconut
16,18,26,28.43647,91.81321,5.568366,145.5414,coconut
10,9,28,29.01257,94.01014,6.282955,150.05,coconut
24,130,195,29.99677,81.54157,6.112306,67.12534,grapes
25,130,197,39.70772,82.68593,5.554832,74.91506,grapes
3,136,205,17.58629,80.84807,6.334771,71.40655,grapes
39,140,203,21.11904,80.63399,6.349876,69.2778,grapes
34,133,202,15.31413,80.09711,5.804799,74.82145,grapes
0,137,195,22.4359,80.18612,6.3295,65.39732,grapes
36,128,204,25.23542,80.68701,5.695793,67.03841,grapes
39,138,203,21.19339,82.33098,6.399434,74.62835,grapes
8,133,195,20.46658,80.97598,6.45608,71.29814,grapes
6,139,199,25.67385,81.62121,6.290998,74.10919,grapes
36,133,198,25.5194,83.98352,6.228645,69.17281,grapes
9,141,202,21.01245,81.17932,6.119495,66.38448,grapes
32,129,201,16.36252,83.00472,6.487546,71.55665,grapes
5,126,197,12.8,81.20876,6.417501,67.10439,grapes
28,122,197,19.89364,82.73366,5.856575,69.66257,grapes
16,139,203,17.82804,80.96093,6.275641,65.84749,grapes
40,132,202,24.57558,80.70696,5.971813,69.70611,grapes
11,124,204,13.42989,80.06634,6.361141,71.40043,grapes
35,140,197,16.77557,82.75242,6.106191,66.76285,grapes
39,132,196,35.83089,83.3256,5.778594,73.67985,grapes
22,123,205,32.44578,83.88505,5.896343,68.73933,grapes
31,144,202,11.02105,80.55557,5.870601,68.23963,grapes
11,122,195,12.14191,83.56812,5.647202,69.63122,grapes
12,142,203,31.3116,82.56407,5.972851,65.01095,grapes
14,131,198,33.46412,83.86743,5.562791,67.92204,grapes
37,135,205,11.82768,80.28272,5.510925,74.10225,grapes
8,136,201,41.65603,82.22118,5.609256,74.19665,grapes
11,132,197,15.99051,81.23967,5.734317,74.40199,grapes
22,138,195,27.83487,83.51445,6.208197,73.02883,grapes
32,121,199,39.37103,81.25354,6.129813,74.08102,grapes
6,123,203,12.7568,81.62497,6.13031,66.77845,grapes
6,140,205,17.66558,82.92903,6.313086,69.86713,grapes
40,140,195,14.97847,80.4998,6.294396,71.63437,grapes
35,135,199,21.77467,80.54943,6.40072,69.3963,grapes
4,136,204,29.93708,81.77713,5.898944,65.52279,grapes
